ID,cognate,lang,cognateID,borrowed,pgmc_forms
451,legen,de,37940,,*lagjan-
452,blijven,nl,28111,,*līban-
453,bleiben,de,28111,,*līban-
454,leave,en,49875,,*līban-
455,lead,en,38076,,*laidjan-
456,leiden,nl,38076,,*laidjan-
457,leiten,de,38076,,*laidjan-
458,Lehm,de,12740,,*laiman-
459,lecken,de,37793,,*lakjan-
460,Land,de,12272,,*landa-
461,land,en,5118,,*landa-
462,lang,nl,37421,,*langa-
463,leaf,en,2041,,*lauba-
464,lead,en,38076,,*lauda-
465,lie,en,38394,,*leg(j)an-
466,liggen,nl,38394,,*leg(j)an-
467,liegen,de,38394,,*leg(j)an-
468,lip,en,13175,,*lepjan-
469,lezen,nl,38147,,*lesan-
470,lesen,de,38147,,*lesan-
471,laten,nl,37541,,*lētan-
472,lassen,de,37547,,*lētan-
473,let,en,37541,,*lētan-
474,lief,nl,38271,,*leuba-
475,lieb,de,38271,,*leuba-
476,lie,en,38394,,*leugan-
477,light,en,25331,,*leuhada-
478,licht,nl,34552,,*leuhada-
479,Licht,de,13060,,*leuhada-
480,life,en,12612,,*lība-
481,leben,de,37713,,*libēn-
482,leven,nl,37713,,*libēn-
483,liver,en,12642,,*librō-
484,Leber,de,12642,,*librō-
485,like,en,38961,,*līka-
486,lick,en,37793,,*likkōn-
487,likken,nl,37793,,*likkōn-
488,lecken,de,37793,,*likkōn-
489,lekker,nl,37846,,*likkra-
490,lecker,de,37846,,*likkra-
491,limb,en,1035,,*limu-
492,lucht,nl,13329,,*luftu-
493,leugen,nl,13385,,*luginō-
494,Lüge,de,13385,,*luginō-
495,lock,en,18184,,*lukka-
496,lust,nl,13427,,*lustu-
497,maag,nl,13606,,*magan-
498,Magen,de,13645,,*magan-
499,macht,nl,13513,,*mahti-
500,Macht,de,13513,,*mahti-
501,man,en,13702,,*mannan-
502,Mann,de,13702,,*mannan-
503,meer,nl,19070,,*mari-
504,Meer,de,13913,,*mari-
505,meat,en,5485,,*mati-
506,meal,en,4387,,*mēla-
507,melt,en,43491,,*meltan-
508,mjólk,is,14130,,*mel(u)kan-
509,milk,en,38793,,*mel(u)kan-
510,Milch,de,14130,,*mel(u)kan-
511,melken,nl,38793,,*mel(u)kan-
512,moon,en,14340,,*mēnan-
513,maan,nl,14340,,*mēnan-
514,Mond,de,14340,,*mēnan-
515,month,en,14296,,*mēnōþ-
516,maand,nl,14296,,*mēnōþ-
517,Monat,de,14296,,*mēnōþ-
518,meten,nl,38822,,*metan-
519,messen,de,38839,,*metan-
520,Mutter,de,14678,,*mōder-
521,mother,en,14678,,*mōder-
522,moeder,nl,14695,,*mōder-
523,moor,en,14418,,*mōra-
524,Moor,de,14418,,*mōra-
525,mögen,de,38941,,*mugan-
526,mind,en,22235,,*mundi-
527,mond,nl,14608,,*munþa-
528,Mund,de,14608,,*munþa-
529,mouth,en,14587,,*munþa-
530,morgunn,is,14503,,*murge
531,morgen,nl,38976,,*murge
532,Morgen,de,14503,,*murge
533,mouse,en,13847,,*mūs-
534,muis,nl,13847,,*mūs-
535,Maus,de,13847,,*mūs-
536,midge,en,14567,,*muwī-
537,mug,nl,14567,,*muwī-
538,Mücke,de,14567,,*muwī-
539,Nabel,de,14777,,*nablan-
540,navel,en,14777,,*nablan-
541,nail,en,14982,,*nagl-
542,nagel,nl,14958,,*nagl-
543,Nagel,de,14982,,*nagl-
544,night,en,14869,,*naht-
545,nacht,nl,14869,,*naht-
546,Nacht,de,14869,,*naht-
547,nótt,is,14869,,*naht-
548,naked,en,39133,,*nakwe
549,naakt,nl,39133,,*nakwe
550,nackt,de,39133,,*nakwe
551,name,en,39431,,*namōn-
552,naam,nl,15089,,*namōn-
553,narrow,en,43437,,*narwa-
554,nose,en,15111,,*nasō-
555,neus,nl,15111,,*nasō-
556,Nase,de,15111,,*nasō-
557,nass,de,39276,,*nata-
558,nat,nl,39276,,*nata-
559,Netz,de,15278,,*natja-
560,nevel,nl,15171,,*nebala-
561,Nebel,de,15171,,*nebala-
562,nemen,nl,39406,,*neman-
563,nehmen,de,39406,,*neman-
564,needle,en,14904,,*nēan-
565,naald,nl,14904,,*nēan-
566,Nadel,de,14904,,*nēan-
567,new,en,39483,,*neuja-
568,nieuw,nl,39483,,*neuja-
569,negen,nl,39539,,*newun-
570,neun,de,39546,,*newun-
571,nest,en,15245,,*nista-
572,Nest,de,15245,,*nista-
573,now,en,35866,,*nū
574,Ufer,de,22082,,*ōf(e)ra-
575,oever,nl,22082,,*ōf(e)ra-
576,path,en,15953,,*paþa-
577,pad,nl,15953,,*paþa-
578,Pfad,de,15953,,*paþa-
579,rennen,nl,41283,,*rannjan-
580,Rede,de,16595,,*raþjōn-
581,rood,nl,41630,,*rauda-
582,rook,nl,16457,,*rauki-
583,Rauch,de,16461,,*rauki-
584,Rohr,de,17079,,*rauza-
585,read,en,38166,,*rēdan-
586,rain,en,40859,,*regna-
587,regen,nl,16718,,*regna-
588,right,en,40733,,*rehta-
589,ruiken,nl,41485,,*reukan-
590,riechen,de,41485,,*reukan-
591,Riemen,de,16925,,*reuman-
592,riem,nl,16924,,*reuman-
593,rij,nl,16869,,*rīhō-
594,Reihe,de,16875,,*rīhō-
595,ripe,en,41132,,*rīpi-
596,rijp,nl,41132,,*rīpi-
597,reif,de,41132,,*rīpi-
598,row,en,41753,,*rōan-
599,Ruhe,de,17338,,*rōō-
600,Ruder,de,17172,,*rōan-
601,rugga,is,52206,,*ruk[kg]ōn-
602,rock,en,52202,,*ruk[kg]ōn-
603,sad,en,48298,,*sada-
604,zeggen,nl,42008,,*sagjan-
605,sjór,is,13918,,sīhwan-
606,sea,en,13916,,sīhwan-
607,zee,nl,13916,,sīhwan-
608,See,de,19105,,sīhwan-
609,See,de,19105,,sīhwan-
610,sell,en,49794,,*saljan-
611,salt,en,17473,,*salta-
612,zout,nl,17473,,*salta-
613,Salz,de,17473,,*salta-
614,Sand,de,17547,,*samda-
615,sand,en,17547,,*samda-
616,zand,nl,17547,,*samda-
617,soft,en,51687,,*samþu-
618,zacht,nl,42118,,*samþu-
619,sanft,de,42118,,*samþu-
620,send,en,42704,,*sandjan-
621,song,en,13109,,*singwan-
622,sink,en,50145,,*sankwjan-
623,zetten,nl,44861,,*satjan-
624,setzen,de,44861,,*satjan-
625,seven,en,45919,,*sebun-
626,zeven,nl,45919,,*sebun-
627,sieben,de,45919,,*sebun-
628,seed,en,17374,,*sēan-
629,zaad,nl,17349,,*sēan-
630,Saat,de,17349,,*sēan-
