ID_1	cognate_1	language_1	cognateID_results_1	cognateID_wiki_1	borrowed_1	pgmc_forms_results_1	pgmc_forms_wiki_1		ID_2	cognate_2	language_2	cognateID_results_2	cognateID_wiki_2	borrowed_2	pgmc_forms_results_2	pgmc_forms_wiki_2
548	naked	en	39133	false	*nakwe		550	nackt	de	39133	false	*nakwe
548	naked	en	39133	false	*nakwe		550	nackt	de	39133	false	*nakwe
550	nackt	de	39133	false	*nakwe		550	nackt	de	39133	false	*nakwe
554	nose	en	15111	false	*nasō-		556	Nase	de	15111	false	*nasō-
571	nest	en	15245	false	*nista-		571	nest	en	15245	false	*nista-
571	nest	en	15245	false	*nista-		571	nest	en	15245	false	*nista-
571	nest	en	15245	false	*nista-		571	nest	en	15245	false	*nista-
571	nest	en	15245	false	*nista-		572	Nest	de	15245	false	*nista-
571	nest	en	15245	false	*nista-		572	Nest	de	15245	false	*nista-
585	read	en	38166	false	*rēdan-		585	read	en	38166	false	*rēdan-
586	rain	en	40859	false	*regna-		586	rain	en	40859	false	*regna-
588	right	en	40733	false	*rehta-		588	right	en	40733	false	*rehta-
588	right	en	40733	false	*rehta-		588	right	en	40733	false	*rehta-
588	right	en	40733	false	*rehta-		588	right	en	40733	false	*rehta-
588	right	en	40733	false	*rehta-		588	right	en	40733	false	*rehta-
588	right	en	40733	false	*rehta-		588	right	en	40733	false	*rehta-
588	right	en	40733	false	*rehta-		588	right	en	40733	false	*rehta-
598	row	en	41753	false	*rōan-		598	row	en	41753	false	*rōan-
602	rock	en	52202	false	*ruk[kg]ōn-		602	rock	en	52202	false	*ruk[kg]ōn-
611	salt	en	17473	false	*salta-		611	salt	en	17473	false	*salta-
611	salt	en	17473	false	*salta-		611	salt	en	17473	false	*salta-
611	salt	en	17473	false	*salta-		611	salt	en	17473	false	*salta-
611	salt	en	17473	false	*salta-		613	Salz	de	17473	false	*salta-
611	salt	en	17473	false	*salta-		613	Salz	de	17473	false	*salta-
614	Sand	de	17547	false	*samda-		615	sand	en	17547	false	*samda-
615	sand	en	17547	false	*samda-		615	sand	en	17547	false	*samda-
651	sew	en	39227	false	*siujan-		651	sew	en	39227	false	*siujan-
686	sleep	en	42939	false	*slēpan-		686	sleep	en	42939	false	*slēpan-
686	sleep	en	42939	false	*slēpan-		688	schlafen	de	42939	false	*slēpan-
721	step	en	18603	false	*stap(p)an-		721	step	en	18603	false	*stap(p)an-
727	stechen	de	46920	false	*stekan-		740	sting	en	46920	false	*stingan-
745	stream	en	47532	false	*strauma-		745	stream	en	47532	false	*strauma-
747	streichen	de	47458	false	*strīkan-		747	streichen	de	47458	false	*strīkan-
748	stroke	en	20760	false	*struk(k)ōn-		748	stroke	en	20760	false	*struk(k)ōn-
753	sound	en	36445	true	*swimman-		753	sound	en	36445	false	*swimman-
753	sound	en	36445	false	*swimman-		753	sound	en	36445	false	*swimman-
761	swallow	en	43433	false	*swalwōn-		761	swallow	en	43433	false	*swalwōn-
778	tear	en	52870	false	*tagra-		778	tear	en	52870	false	*tagra-
778	tear	en	52870	false	*tagra-		791	tear	en	52870	false	*teran-
778	tear	en	52870	false	*tagra-		791	tear	en	52870	false	*teran-
791	tear	en	52870	false	*teran-		791	tear	en	52870	false	*teran-
794	Zeit	de	23868	false	*tīdi-		795	time	en	23868	false	*tīman-
814	think	en	28924	false	*ϸankjan-		814	think	en	28924	false	*ϸankjan-
814	think	en	28924	false	*ϸankjan-		839	think	en	28924	false	*þunkjan-
814	think	en	28924	false	*ϸankjan-		839	think	en	28924	false	*þunkjan-
839	think	en	28924	false	*þunkjan-		839	think	en	28924	false	*þunkjan-
821	through	en	29766	false	*ϸerhwe		821	through	en	29766	false	*ϸerhwe
847	often	en	40078	false	*uba		847	often	en	40078	false	*uba
848	oft	de	40112	false	*uba		848	oft	de	40112	false	*uba
872	work	en	25339	false	*werka-		872	work	en	25339	false	*werka-
872	work	en	25339	false	*werka-		872	work	en	25339	false	*werka-
872	work	en	25339	false	*werka-		872	work	en	25339	false	*werka-
881	wood	en	9657	false	*widu-		881	wood	en	9657	false	*widu-
882	wind	en	23139	false	*winda-		882	wind	en	23139	false	*winda-
882	wind	en	23139	false	*winda-		883	Wind	de	23139	false	*winda-
884	win	en	46049	false	*winnan-		884	win	en	46049	false	*winnan-
898	word	en	23420	false	*wurda-		898	word	en	23420	false	*wurda-
898	word	en	23420	false	*wurda-		900	Wort	de	23420	false	*wurda-
